touchpoint_id,user_id,campaign_name,channel,sent_at,opened,clicked,replied,outcome
C00424,U0327,alumni-winback,email,2023-12-11T17:12:38,true,false,false,ignored
C00596,U0456,grand-finale-invite,whatsapp,2023-12-11T22:00:46,false,false,false,unsubscribed
C00560,U0420,autumn-edition-invite,discord,2023-12-15T12:32:35,true,false,false,ignored
C00309,U0216,autumn-edition-invite,email,2023-12-16T16:27:06,false,false,false,ignored
C00167,U0118,spring-edition-invite,email,2023-12-17T19:27:59,false,false,false,ignored
C00597,U0458,grand-finale-invite,email,2023-12-26T08:34:17,true,true,false,ignored
C00766,U0588,monsoon-edition-invite,discord,2024-01-02T19:20:00,true,true,true,registered
C00661,U0501,alumni-winback,whatsapp,2024-01-04T09:31:45,true,false,false,ignored
C00438,U0334,alumni-winback,discord,2024-01-26T17:54:45,true,false,false,ignored
C00822,U0634,workshop-announcement,email,2024-01-30T20:11:09,true,true,false,ignored
C00443,U0338,grand-finale-invite,email,2024-02-02T12:31:22,true,true,false,ignored
C00727,U0555,monsoon-edition-invite,email,2024-02-07T20:43:48,false,false,false,ignored
C00637,U0480,autumn-edition-invite,email,2024-02-08T12:09:11,false,false,false,ignored
C00771,U0590,winter-edition-invite,email,2024-02-12T15:12:45,true,true,false,ignored
C00349,U0259,grand-finale-invite,email,2024-02-14T16:05:49,false,false,false,ignored
C00598,U0458,monsoon-edition-invite,email,2024-02-15T18:30:19,false,false,false,ignored
C00797,U0614,track-specific-genai,email,2024-02-19T13:32:08,true,false,false,ignored
C00242,U0175,workshop-announcement,email,2024-02-21T13:51:35,false,false,false,unsubscribed
C00010,U0010,monsoon-edition-invite,whatsapp,2024-02-22T13:48:00,false,false,false,ignored
C00154,U0114,autumn-edition-invite,email,2024-02-25T20:09:23,true,false,false,ignored
C00042,U0029,workshop-announcement,discord,2024-02-25T21:25:51,true,false,false,ignored
C00230,U0165,workshop-announcement,discord,2024-02-28T17:35:37,false,false,false,ignored
C00754,U0584,feedback-request,email,2024-03-01T09:04:20,false,false,false,ignored
C00662,U0501,community-digest,discord,2024-03-02T11:50:38,false,false,false,ignored
C00356,U0262,feedback-request,email,2024-03-03T21:26:00,false,false,false,ignored
C00258,U0185,autumn-edition-invite,whatsapp,2024-03-04T15:07:25,true,false,false,ignored
C00279,U0200,mentor-recruitment,email,2024-03-14T19:40:52,false,false,false,ignored
C00733,U0565,alumni-winback,email,2024-03-16T14:02:10,true,false,false,ignored
C00043,U0029,alumni-winback,whatsapp,2024-03-20T08:25:05,false,false,false,ignored
C00281,U0201,monsoon-edition-invite,email,2024-03-21T20:39:23,true,true,false,ignored
C00528,U0405,spring-edition-invite,email,2024-03-22T19:35:14,true,false,false,ignored
C00168,U0118,track-specific-genai,email,2024-03-27T15:12:36,false,false,false,ignored
C00772,U0590,community-digest,whatsapp,2024-03-27T20:04:20,false,false,false,ignored
C00518,U0400,monsoon-edition-invite,discord,2024-03-27T20:18:50,false,false,false,ignored
C00244,U0177,autumn-edition-invite,email,2024-03-28T11:03:43,true,false,false,ignored
C00734,U0565,grand-finale-invite,whatsapp,2024-04-04T22:05:08,true,false,false,ignored
C00527,U0404,alumni-winback,email,2024-04-05T10:18:38,true,true,false,ignored
C00817,U0632,spring-edition-invite,email,2024-04-05T19:34:56,false,false,false,ignored
C00543,U0411,mentor-recruitment,email,2024-04-05T21:12:50,false,false,false,ignored
C00735,U0565,monsoon-edition-invite,email,2024-04-11T12:55:08,true,false,false,ignored
C00365,U0267,track-specific-genai,email,2024-04-20T13:31:26,true,false,false,ignored
C00538,U0410,track-specific-genai,email,2024-04-20T14:42:09,false,false,false,ignored
C00747,U0574,alumni-winback,email,2024-04-20T23:36:19,false,false,false,ignored
C00169,U0118,spring-edition-invite,email,2024-04-21T18:58:40,true,false,false,ignored
C00158,U0116,workshop-announcement,email,2024-04-24T16:22:51,false,false,false,ignored
C00456,U0351,winter-edition-invite,whatsapp,2024-04-25T18:13:26,false,false,false,ignored
C00654,U0494,winter-edition-invite,discord,2024-04-26T22:58:21,true,false,false,ignored
C00737,U0567,grand-finale-invite,email,2024-04-26T23:54:50,false,false,false,ignored
C00157,U0115,community-digest,email,2024-04-27T08:07:09,false,false,false,ignored
C00692,U0523,grand-finale-invite,email,2024-04-29T08:59:47,false,false,false,ignored
C00357,U0262,track-specific-web3,email,2024-04-29T16:21:06,true,true,true,registered
C00294,U0209,autumn-edition-invite,whatsapp,2024-04-30T12:13:46,true,true,true,registered
C00698,U0536,mentor-recruitment,email,2024-05-01T12:04:25,true,false,false,unsubscribed
C00263,U0188,feedback-request,email,2024-05-03T14:18:51,true,false,false,ignored
C00760,U0586,track-specific-genai,discord,2024-05-07T13:13:45,true,false,false,ignored
C00767,U0588,track-specific-genai,whatsapp,2024-05-08T08:50:46,false,false,false,ignored
C00321,U0229,mentor-recruitment,email,2024-05-08T21:34:24,true,false,false,unsubscribed
C00667,U0502,alumni-winback,whatsapp,2024-05-09T11:30:21,false,false,false,ignored
C00788,U0609,alumni-winback,whatsapp,2024-05-09T13:25:15,false,false,false,ignored
C00748,U0574,monsoon-edition-invite,email,2024-05-10T11:36:49,true,false,false,ignored
C00099,U0078,monsoon-edition-invite,email,2024-05-13T23:54:17,false,false,false,ignored
C00658,U0500,spring-edition-invite,discord,2024-05-20T08:10:09,false,false,false,ignored
C00234,U0171,mentor-recruitment,email,2024-06-01T11:59:07,true,false,false,ignored
C00065,U0046,grand-finale-invite,email,2024-06-01T22:13:18,false,false,false,ignored
C00310,U0216,winter-edition-invite,whatsapp,2024-06-02T09:19:28,false,false,false,ignored
C00549,U0415,feedback-request,email,2024-06-08T17:39:45,true,false,false,ignored
C00147,U0109,alumni-winback,email,2024-06-09T08:11:41,false,false,false,ignored
C00488,U0371,spring-edition-invite,email,2024-06-15T18:11:32,false,false,false,ignored
C00529,U0406,mentor-recruitment,email,2024-06-17T12:12:56,true,false,false,ignored
C00023,U0022,autumn-edition-invite,discord,2024-06-20T12:56:05,true,false,false,ignored
C00391,U0303,grand-finale-invite,whatsapp,2024-06-23T08:45:45,true,false,false,ignored
C00079,U0062,monsoon-edition-invite,email,2024-06-24T13:25:11,false,false,false,ignored
C00195,U0137,community-digest,email,2024-06-26T23:27:36,false,false,false,ignored
C00425,U0327,spring-edition-invite,email,2024-06-27T23:04:08,true,false,false,ignored
C00479,U0366,alumni-winback,email,2024-06-29T09:19:15,false,false,false,ignored
C00344,U0254,grand-finale-invite,email,2024-06-29T12:53:50,false,false,false,ignored
C00778,U0594,community-digest,email,2024-07-05T10:06:32,true,false,false,ignored
C00711,U0544,workshop-announcement,email,2024-07-08T18:13:09,true,false,false,ignored
C00484,U0368,autumn-edition-invite,email,2024-07-10T12:18:43,true,false,false,ignored
C00714,U0545,mentor-recruitment,email,2024-07-11T16:23:41,true,false,false,ignored
C00161,U0117,winter-edition-invite,whatsapp,2024-07-12T19:58:18,false,false,false,ignored
C00319,U0226,track-specific-web3,whatsapp,2024-07-13T17:47:15,false,false,false,ignored
