project_id,rank,prize_track,prize_amount_inr,score,judge_feedback
P0001,2,Overall,60000,74,Good technical foundation. The team ran out of time on the interface and it showed.
P0002,1,Overall,100000,75,The core flow is convincing; the surrounding scaffolding is not yet there.
P0003,,,,55,"Sensible engineering, unremarkable ambition. A safe submission."
P0004,,,,56,Works as advertised. We would have liked more justification for the design choices.
P0005,,,,63,"Sensible engineering, unremarkable ambition. A safe submission."
P0006,3,Overall,30000,70,The prototype does what they said. Scaling it would need a different architecture and they know that.
P0007,,,,57,Competent build. The problem framing was stronger than the solution.
P0008,,,,44,"Significant parts were hard-coded, which the team did not disclose until questioned."
P0009,,,,57,"The data work is better than the modelling here, which is unusual and worth noting."
P0010,,,,45,"Good energy, insufficient planning. Nothing ran end to end."
P0011,2,Overall,60000,71,"The data work is better than the modelling here, which is unusual and worth noting."
P0012,,,,64,Solid execution on a familiar problem. The demo worked but the differentiation from existing tools was not argued clearly.
P0013,1,Overall,100000,84,"The data work is better than the modelling here, which is unusual and worth noting."
P0014,,,,49,"Good energy, insufficient planning. Nothing ran end to end."
P0015,,,,36,"Good energy, insufficient planning. Nothing ran end to end."
P0016,,,,62,Works as advertised. We would have liked more justification for the design choices.
P0017,3,Overall,30000,70,Solid execution on a familiar problem. The demo worked but the differentiation from existing tools was not argued clearly.
P0018,,,,54,"Sensible engineering, unremarkable ambition. A safe submission."
P0019,,,,44,"Significant parts were hard-coded, which the team did not disclose until questioned."
P0020,,,,37,Unclear problem statement and the solution did not obviously follow from it.
P0021,,,,33,The presentation described a product that the code does not implement yet.
P0022,1,Overall,100000,54,"Sensible engineering, unremarkable ambition. A safe submission."
P0023,3,Overall,30000,41,Overscoped. Three services half-built instead of one complete path.
P0024,2,Overall,60000,51,"Nice idea, partially delivered. Two of the four features in the pitch were not working."
P0025,,,,53,"The data work is better than the modelling here, which is unusual and worth noting."
P0026,,,,69,Works as advertised. We would have liked more justification for the design choices.
P0027,,,,59,The core flow is convincing; the surrounding scaffolding is not yet there.
P0028,,,,61,"Good teamwork and a clean demo, but the underlying method is off-the-shelf."
P0029,2,Overall,60000,76,Works as advertised. We would have liked more justification for the design choices.
P0030,,,,67,The core flow is convincing; the surrounding scaffolding is not yet there.
P0031,3,Overall,30000,72,The prototype does what they said. Scaling it would need a different architecture and they know that.
P0032,,,,49,The demo failed twice. The underlying idea is reasonable and worth another attempt.
P0033,,,,65,"Interesting approach, though the evaluation was thin. Some claims were not backed by what was demoed."
P0034,1,Overall,100000,80,Solid execution on a familiar problem. The demo worked but the differentiation from existing tools was not argued clearly.
P0035,,,,60,Works as advertised. We would have liked more justification for the design choices.
P0036,,,,73,"Sensible engineering, unremarkable ambition. A safe submission."
P0037,,,,72,Works as advertised. We would have liked more justification for the design choices.
P0038,2,Overall,60000,84,Good technical foundation. The team ran out of time on the interface and it showed.
P0039,3,Overall,30000,76,The core flow is convincing; the surrounding scaffolding is not yet there.
P0040,,,,40,The idea has merit but very little was working at demo time. Focus on finishing one flow next time.
P0041,,,,68,"The data work is better than the modelling here, which is unusual and worth noting."
P0042,,,,51,Reasonable scope and an honest presentation. The technical risk was low.
P0043,,,,55,Reasonable scope and an honest presentation. The technical risk was low.
P0044,,,,65,"The data work is better than the modelling here, which is unusual and worth noting."
P0045,,,,49,"Significant parts were hard-coded, which the team did not disclose until questioned."
P0046,,,,46,The presentation described a product that the code does not implement yet.
P0047,1,Overall,100000,91,The architecture holds up to scrutiny and the team clearly built it themselves. Excellent.
P0048,,,,64,The prototype does what they said. Scaling it would need a different architecture and they know that.
P0049,,,,56,Reasonable scope and an honest presentation. The technical risk was low.
P0050,,,,67,The prototype does what they said. Scaling it would need a different architecture and they know that.
P0051,,,,46,"Good energy, insufficient planning. Nothing ran end to end."
P0052,,,,73,Good technical foundation. The team ran out of time on the interface and it showed.
P0053,,,,61,"Sensible engineering, unremarkable ambition. A safe submission."
P0054,2,Overall,60000,76,"Sensible engineering, unremarkable ambition. A safe submission."
P0055,,,,66,"Interesting approach, though the evaluation was thin. Some claims were not backed by what was demoed."
P0056,,,,71,Works as advertised. We would have liked more justification for the design choices.
P0057,,,,61,"Sensible engineering, unremarkable ambition. A safe submission."
P0058,3,Overall,30000,75,"Interesting approach, though the evaluation was thin. Some claims were not backed by what was demoed."
P0059,,,,69,"Nice idea, partially delivered. Two of the four features in the pitch were not working."
P0060,,,,65,Works as advertised. We would have liked more justification for the design choices.
P0061,,,,34,Unclear problem statement and the solution did not obviously follow from it.
P0062,,,,48,"Good energy, insufficient planning. Nothing ran end to end."
P0063,1,Overall,100000,82,Works as advertised. We would have liked more justification for the design choices.
P0064,,,,58,The core flow is convincing; the surrounding scaffolding is not yet there.
P0065,,,,58,"The data work is better than the modelling here, which is unusual and worth noting."
P0066,,,,56,Competent build. The problem framing was stronger than the solution.
P0067,,,,62,"Good teamwork and a clean demo, but the underlying method is off-the-shelf."
P0068,1,Overall,100000,85,Competent build. The problem framing was stronger than the solution.
P0069,,,,48,The idea has merit but very little was working at demo time. Focus on finishing one flow next time.
P0070,,,,44,The demo failed twice. The underlying idea is reasonable and worth another attempt.
P0071,,,,61,"The data work is better than the modelling here, which is unusual and worth noting."
P0072,,,,53,"Interesting approach, though the evaluation was thin. Some claims were not backed by what was demoed."
P0073,2,Overall,60000,84,The core flow is convincing; the surrounding scaffolding is not yet there.
P0074,,,,43,The presentation described a product that the code does not implement yet.
P0075,3,Overall,30000,68,"Sensible engineering, unremarkable ambition. A safe submission."
P0076,,,,54,The prototype does what they said. Scaling it would need a different architecture and they know that.
P0077,,,,52,Reasonable scope and an honest presentation. The technical risk was low.
P0078,,,,67,"Interesting approach, though the evaluation was thin. Some claims were not backed by what was demoed."
P0079,1,Overall,100000,84,Good technical foundation. The team ran out of time on the interface and it showed.
P0080,,,,65,"Interesting approach, though the evaluation was thin. Some claims were not backed by what was demoed."
P0081,,,,57,Good technical foundation. The team ran out of time on the interface and it showed.
P0082,,,,67,The prototype does what they said. Scaling it would need a different architecture and they know that.
P0083,,,,60,"Nice idea, partially delivered. Two of the four features in the pitch were not working."
P0084,,,,66,The prototype does what they said. Scaling it would need a different architecture and they know that.
P0085,3,Overall,30000,70,"Good teamwork and a clean demo, but the underlying method is off-the-shelf."
P0086,,,,59,"Sensible engineering, unremarkable ambition. A safe submission."
P0087,,,,62,The prototype does what they said. Scaling it would need a different architecture and they know that.
P0088,2,Overall,60000,78,"The data work is better than the modelling here, which is unusual and worth noting."
P0089,,,,67,"Interesting approach, though the evaluation was thin. Some claims were not backed by what was demoed."
P0090,3,Overall,30000,70,"Interesting approach, though the evaluation was thin. Some claims were not backed by what was demoed."
P0091,,,,66,"Good teamwork and a clean demo, but the underlying method is off-the-shelf."
P0092,2,Overall,60000,77,Works as advertised. We would have liked more justification for the design choices.
P0093,,,,69,"The data work is better than the modelling here, which is unusual and worth noting."
P0094,1,Overall,100000,83,The core flow is convincing; the surrounding scaffolding is not yet there.
P0095,,,,42,Unclear problem statement and the solution did not obviously follow from it.
P0096,,,,69,Competent build. The problem framing was stronger than the solution.
P0097,,,,69,Competent build. The problem framing was stronger than the solution.
P0098,,,,53,"The data work is better than the modelling here, which is unusual and worth noting."
P0099,,,,74,"Nice idea, partially delivered. Two of the four features in the pitch were not working."
P0100,,,,72,Reasonable scope and an honest presentation. The technical risk was low.
P0101,,,,66,"The data work is better than the modelling here, which is unusual and worth noting."
P0102,,,,49,Mostly configuration of existing tools with little original work.
P0103,,,,70,"Interesting approach, though the evaluation was thin. Some claims were not backed by what was demoed."
P0104,,,,68,The core flow is convincing; the surrounding scaffolding is not yet there.
P0105,1,Overall,100000,84,Reasonable scope and an honest presentation. The technical risk was low.
P0106,3,Overall,30000,81,Works as advertised. We would have liked more justification for the design choices.
P0107,,,,42,"Good energy, insufficient planning. Nothing ran end to end."
P0108,2,Overall,60000,83,Good technical foundation. The team ran out of time on the interface and it showed.
P0109,,,,61,Solid execution on a familiar problem. The demo worked but the differentiation from existing tools was not argued clearly.
P0110,,,,60,"Good teamwork and a clean demo, but the underlying method is off-the-shelf."
P0111,2,Overall,60000,83,The prototype does what they said. Scaling it would need a different architecture and they know that.
P0112,1,Overall,100000,90,Exceptionally well-scoped for the time available. The demo ran without a hitch and the team could answer every implementation question.
P0113,,,,61,Reasonable scope and an honest presentation. The technical risk was low.
P0114,,,,59,"Good teamwork and a clean demo, but the underlying method is off-the-shelf."
P0115,3,Overall,30000,62,"Good teamwork and a clean demo, but the underlying method is off-the-shelf."
