participation_id,user_id,hackathon_id,team_id,team_role,registered_at,status
PA00001,U0010,H001,T0013,Frontend,2024-01-10,attended
PA00002,U0039,H001,T0015,Backend,2023-12-15,attended
PA00003,U0051,H001,T0012,Frontend,2023-12-20,attended
PA00004,U0062,H001,T0013,Design,2023-12-29,attended
PA00005,U0073,H001,,,2023-12-27,no_show
PA00006,U0091,H001,T0004,Design,2024-01-08,attended
PA00007,U0095,H001,T0008,Design,2023-12-08,attended
PA00008,U0116,H001,T0012,DevOps,2023-12-28,attended
PA00009,U0128,H001,T0003,DevOps,2023-12-21,attended
PA00010,U0136,H001,T0004,Backend,2023-12-18,attended
PA00011,U0137,H001,,,2024-01-10,no_show
PA00012,U0157,H001,T0001,Design,2023-12-17,attended
PA00013,U0159,H001,T0010,Backend,2023-12-12,attended
PA00014,U0200,H001,,,2024-01-10,no_show
PA00015,U0216,H001,T0007,Mobile,2023-12-29,attended
PA00016,U0227,H001,T0006,Backend,2023-12-15,attended
PA00017,U0254,H001,T0007,DevOps,2023-12-11,attended
PA00018,U0259,H001,T0012,Product,2023-12-26,attended
PA00019,U0262,H001,T0009,Data,2023-12-17,attended
PA00020,U0303,H001,T0013,Backend,2023-12-31,attended
PA00021,U0347,H001,T0004,Frontend,2023-12-29,attended
PA00022,U0355,H001,T0001,Frontend,2024-01-10,attended
PA00023,U0359,H001,T0008,Frontend,2023-12-14,attended
PA00024,U0365,H001,T0015,Backend,2024-01-07,attended
PA00025,U0373,H001,T0007,Lead,2023-12-16,attended
PA00026,U0400,H001,T0003,Mobile,2024-01-06,attended
PA00027,U0401,H001,T0009,DevOps,2023-12-25,attended
PA00028,U0411,H001,T0002,Frontend,2023-12-05,attended
PA00029,U0420,H001,,,2024-01-04,no_show
PA00030,U0442,H001,T0009,Member,2023-12-18,attended
PA00031,U0443,H001,T0001,Backend,2023-12-31,attended
PA00032,U0456,H001,T0010,Frontend,2023-12-04,attended
PA00033,U0458,H001,T0003,Member,2023-12-30,attended
PA00034,U0463,H001,T0008,Mobile,2023-12-21,attended
PA00035,U0480,H001,T0006,Mobile,2023-12-17,attended
PA00036,U0507,H001,T0003,Frontend,2023-12-22,attended
PA00037,U0536,H001,T0011,Data,2023-12-12,attended
PA00038,U0539,H001,T0005,Mobile,2023-12-22,attended
PA00039,U0543,H001,T0002,Member,2023-12-18,attended
PA00040,U0554,H001,T0012,Backend,2024-01-06,attended
PA00041,U0565,H001,,,2023-12-24,no_show
PA00042,U0566,H001,T0015,Product,2023-12-18,attended
PA00043,U0584,H001,T0008,Member,2023-12-14,attended
PA00044,U0590,H001,,,2023-12-31,no_show
PA00045,U0594,H001,T0007,Data,2024-01-05,attended
PA00046,U0604,H001,T0010,Mobile,2023-12-21,attended
PA00047,U0626,H001,T0014,Data,2023-12-20,attended
PA00048,U0634,H001,T0013,Backend,2023-12-08,attended
PA00049,U0018,H002,T0023,Frontend,2024-02-02,attended
PA00050,U0029,H002,T0021,Backend,2024-02-18,attended
PA00051,U0054,H002,T0016,ML/AI,2024-01-23,attended
PA00052,U0069,H002,T0025,Member,2024-01-17,attended
PA00053,U0075,H002,T0030,Frontend,2024-02-19,attended
PA00054,U0076,H002,T0017,Backend,2024-02-16,attended
PA00055,U0102,H002,T0019,Member,2024-02-02,attended
PA00056,U0103,H002,T0029,Frontend,2024-01-16,attended
PA00057,U0118,H002,T0025,Lead,2024-02-13,attended
PA00058,U0136,H002,T0016,Backend,2024-01-24,attended
PA00059,U0146,H002,T0024,Mobile,2024-02-14,attended
PA00060,U0159,H002,T0019,Backend,2024-02-11,attended
PA00061,U0164,H002,T0021,Frontend,2024-01-20,attended
PA00062,U0180,H002,T0018,Design,2024-02-08,attended
PA00063,U0195,H002,T0026,Member,2024-01-13,attended
PA00064,U0201,H002,T0020,Frontend,2024-02-11,attended
PA00065,U0204,H002,T0030,Data,2024-01-31,attended
PA00066,U0205,H002,T0027,Design,2024-02-07,attended
PA00067,U0220,H002,,,2024-01-29,no_show
PA00068,U0243,H002,T0025,Backend,2024-01-29,attended
PA00069,U0253,H002,T0031,Member,2024-01-16,attended
PA00070,U0263,H002,,,2024-01-23,no_show
PA00071,U0267,H002,T0029,Design,2024-01-18,attended
PA00072,U0323,H002,T0031,Mobile,2024-02-12,attended
PA00073,U0327,H002,,,2024-01-23,no_show
PA00074,U0335,H002,T0018,Backend,2024-02-18,attended
PA00075,U0339,H002,T0020,Mobile,2024-01-30,attended
PA00076,U0351,H002,,,2024-01-18,no_show
PA00077,U0353,H002,T0019,Backend,2024-02-01,attended
PA00078,U0355,H002,T0024,Frontend,2024-01-16,attended
PA00079,U0382,H002,T0028,Lead,2024-02-01,attended
PA00080,U0401,H002,T0022,Lead,2024-01-20,attended
PA00081,U0404,H002,T0016,Frontend,2024-01-23,attended
PA00082,U0405,H002,T0026,Frontend,2024-01-29,attended
PA00083,U0406,H002,,,2024-02-13,no_show
PA00084,U0410,H002,T0028,Data,2024-02-05,attended
PA00085,U0420,H002,T0023,Backend,2024-01-23,attended
PA00086,U0428,H002,T0024,Backend,2024-02-12,attended
PA00087,U0461,H002,T0017,Member,2024-01-25,attended
PA00088,U0471,H002,T0030,DevOps,2024-02-19,attended
PA00089,U0490,H002,T0023,Mobile,2024-01-23,attended
PA00090,U0494,H002,T0029,Frontend,2024-01-26,attended
PA00091,U0500,H002,T0018,Mobile,2024-01-30,attended
PA00092,U0501,H002,T0027,Backend,2024-02-12,attended
PA00093,U0502,H002,,,2024-02-12,no_show
PA00094,U0523,H002,T0028,Design,2024-01-27,attended
PA00095,U0544,H002,T0026,Design,2024-02-08,attended
PA00096,U0549,H002,T0020,Design,2024-02-02,attended
PA00097,U0555,H002,T0027,Member,2024-02-09,attended
