team_id,hackathon_id,team_name,team_size
T0001,H001,Crimson Cursors,3
T0002,H001,Velvet Monoliths,2
T0003,H001,Granite Lambdas,4
T0004,H001,Humble Gradients,3
T0005,H001,Feral Lambdas,1
T0006,H001,Brass Shards,2
T0007,H001,Rapid Payloads,4
T0008,H001,Copper Shards,4
T0009,H001,Cobalt Lambdas,3
T0010,H001,Obsidian Registers,3
T0011,H001,Crimson Cascades,1
T0012,H001,Neon Heaps,4
T0013,H001,Lucid Heaps,4
T0014,H001,Static Daemons,1
T0015,H001,Polar Tensors,3
T0016,H002,Static Buffers,3
T0017,H002,Lucid Anchors,3
T0018,H002,Rapid Gradients,3
T0019,H002,Copper Gradients,3
T0020,H002,Iron Tensors,3
T0021,H002,Neon Payloads,2
T0022,H002,Humble Monoliths,1
T0023,H002,Silent Shards,3
T0024,H002,Hollow Gradients,3
T0025,H002,Humble Heaps,3
T0026,H002,Polar Payloads,3
T0027,H002,Brass Sockets,3
T0028,H002,Amber Runtimes,3
T0029,H002,Feral Segfaults,3
T0030,H002,Humble Vectors,3
T0031,H002,Polar Lambdas,2
T0032,H003,Quantum Payloads,3
T0033,H003,Velvet Sockets,3
T0034,H003,Rapid Monoliths,3
T0035,H003,Cobalt Pipelines,3
T0036,H003,Brass Pipelines,3
T0037,H003,Paper Compilers,3
T0038,H003,Granite Monoliths,2
T0039,H003,Frantic Registers,3
T0040,H003,Static Compilers,3
T0041,H003,Cobalt Vectors,3
T0042,H003,Paper Sockets,3
T0043,H004,Midnight Threads,2
T0044,H004,Cobalt Gradients,3
T0045,H004,Obsidian Sockets,3
T0046,H004,Stray Tensors,3
T0047,H004,Brass Segfaults,3
T0048,H004,Neon Registers,3
T0049,H004,Iron Vectors,3
T0050,H004,Crimson Beacons,2
T0051,H004,Iron Pipelines,2
T0052,H004,Obsidian Pointers,1
T0053,H004,Hollow Callbacks,3
T0054,H004,Neon Runtimes,3
T0055,H004,Velvet Cursors,3
T0056,H004,Rogue Sockets,2
T0057,H004,Quantum Kernels,2
T0058,H005,Iron Lambdas,4
T0059,H005,Rapid Segfaults,1
T0060,H005,Hollow Callbacks,2
T0061,H005,Static Threads,2
T0062,H005,Crimson Pointers,3
T0063,H005,Iron Registers,3
T0064,H005,Frantic Cascades,4
T0065,H005,Polar Pointers,3
T0066,H005,Humble Compilers,4
T0067,H005,Polar Gradients,3
T0068,H005,Amber Cursors,3
T0069,H005,Feral Heaps,2
T0070,H005,Midnight Anchors,3
T0071,H005,Stray Runtimes,3
T0072,H005,Granite Monoliths,2
T0073,H005,Iron Mutexes,2
T0074,H005,Midnight Sockets,2
T0075,H005,Copper Runtimes,1
T0076,H006,Paper Buffers,3
T0077,H006,Neon Monoliths,2
T0078,H006,Granite Monoliths,3
T0079,H006,Brass Runtimes,2
T0080,H006,Frantic Lambdas,3
T0081,H006,Rapid Shards,3
T0082,H006,Frantic Threads,3
T0083,H006,Velvet Sockets,3
T0084,H006,Rapid Mutexes,2
T0085,H006,Granite Vectors,3
T0086,H006,Paper Pipelines,3
T0087,H006,Amber Beacons,1
T0088,H006,Midnight Segfaults,3
T0089,H006,Feral Mutexes,3
T0090,H006,Hollow Runtimes,2
T0091,H006,Granite Segfaults,1
T0092,H007,Hollow Kernels,3
T0093,H007,Rogue Kernels,2
T0094,H007,Midnight Mutexes,3
T0095,H007,Silent Buffers,3
T0096,H007,Cobalt Cascades,3
T0097,H007,Humble Monoliths,4
T0098,H007,Brass Lambdas,3
T0099,H007,Humble Pipelines,3
T0100,H007,Hollow Heaps,4
T0101,H007,Rogue Buffers,1
T0102,H007,Obsidian Segfaults,2
T0103,H007,Lucid Anchors,2
T0104,H007,Polar Payloads,4
T0105,H007,Feral Gradients,4
T0106,H007,Amber Lambdas,2
T0107,H007,Stray Vectors,3
T0108,H007,Silent Monoliths,3
T0109,H008,Midnight Registers,2
T0110,H008,Crimson Pointers,4
T0111,H008,Iron Threads,4
T0112,H008,Rapid Kernels,3
T0113,H008,Lucid Monoliths,4
T0114,H008,Cobalt Runtimes,3
T0115,H008,Rapid Registers,3
T0116,H008,Paper Cascades,4
T0117,H008,Static Sockets,4
T0118,H008,Cobalt Cascades,3
T0119,H008,Wandering Tensors,4
T0120,H008,Copper Mutexes,3
T0121,H008,Frantic Segfaults,3
T0122,H009,Iron Cursors,2
T0123,H009,Feral Gradients,3
T0124,H009,Cobalt Heaps,2
T0125,H009,Stray Beacons,4
T0126,H009,Amber Vectors,4
T0127,H009,Amber Lambdas,3
T0128,H009,Humble Cascades,3
T0129,H009,Crimson Runtimes,3
T0130,H009,Neon Buffers,2
T0131,H009,Wandering Pointers,3
T0132,H009,Wandering Registers,1
T0133,H009,Amber Pointers,4
T0134,H009,Brass Heaps,3
T0135,H009,Quantum Pointers,4
T0136,H010,Hollow Kernels,3
T0137,H010,Iron Pipelines,2
T0138,H010,Rogue Cursors,3
T0139,H010,Obsidian Payloads,2
T0140,H010,Paper Mutexes,2
T0141,H010,Frantic Pointers,3
T0142,H010,Midnight Heaps,3
T0143,H010,Brass Beacons,3
T0144,H010,Iron Monoliths,2
T0145,H010,Static Registers,3
T0146,H010,Silent Vectors,3
T0147,H010,Polar Mutexes,3
T0148,H010,Crimson Buffers,1
T0149,H010,Stray Vectors,3
T0150,H010,Midnight Payloads,3
T0151,H010,Iron Cascades,1
T0152,H011,Velvet Threads,3
T0153,H011,Midnight Daemons,3
T0154,H011,Amber Runtimes,4
T0155,H011,Crimson Kernels,4
T0156,H011,Static Segfaults,2
T0157,H011,Quantum Heaps,4
T0158,H011,Granite Sockets,3
T0159,H011,Feral Daemons,3
T0160,H011,Midnight Buffers,3
