project_id,team_id,hackathon_id,title,description,tech_stack,repo_url,demo_url,submitted_at
P0001,T0002,H001,SkillPath,"The team picked this up after running into students with no idea which course actually leads anywhere first-hand. Our solution is mapping job postings back to prerequisite skills and available courses. The implementation uses PostgreSQL, scikit-learn, tRPC, Vite. Given more time the obvious next step is a proper evaluation set.",PostgreSQL|LangChain|tRPC|Vite,https://github.com/arjun_mittal/skill-path,,2024-01-14T09:59:55
P0002,T0003,H001,LabSim,"We started from a simple observation: colleges without equipment for practical coursework. The demo path is browser-based circuit and chemistry simulation with guided experiments. We picked Express, scikit-learn, TypeScript, Vite because the whole team already knew it. Given more time the obvious next step is a proper evaluation set.",Express|scikit-learn|TypeScript|Vite|MongoDB,https://github.com/achauhan/lab-sim,https://lab-sim-demo.vercel.app,2024-01-14T15:30:08
P0003,T0004,H001,LabSim,"What kept coming up in our research was colleges without equipment for practical coursework. Our implementation is browser-based circuit and chemistry simulation with guided experiments, plus a thin review interface. Stack: Next.js, Node.js, OpenCV, Express. It works offline, which matters for the users we spoke to.",Next.js|Node.js|OpenCV|Express|React Native|TypeScript,https://github.com/armaan28/lab-sim,https://lab-sim-demo.vercel.app,2024-01-14T20:45:09
P0004,T0007,H001,AttendAR,"Rather than a general platform, we targeted twenty minutes of every lecture lost to a roll call directly. The submission implements face-based attendance with an explicit opt-out and on-device processing. The stack is Kotlin, Flutter, Jetpack Compose, Python, chosen for how fast we could iterate on it.",Kotlin|Flutter|Jetpack Compose|Python,https://github.com/sahil75/attend-ar,,2024-01-14T19:34:55
P0005,T0009,H001,ReadRight,"We kept the scope to undiagnosed dyslexia in primary classrooms rather than trying to build a platform. The build is a reading-fluency screener producing a referral recommendation, not a diagnosis, with caching so the demo does not depend on the network. Everything runs on React, Vite, scikit-learn, Jetpack Compose.",React|Vite|RAG|Jetpack Compose,https://github.com/siddharthkrishnandev/read-right,https://read-right-demo.vercel.app,2024-01-14T11:44:33
P0006,T0010,H001,GradeGrain,"The premise was that teachers spending weekends marking short-answer questions is a workflow problem, not a technology one. Our implementation is rubric-guided grading assistance with mandatory teacher confirmation, plus a thin review interface. Implemented in Vite, MongoDB, React, Tailwind CSS. We open-sourced it during the event; it has 19 stars so far.",Vite|MongoDB|React|Tailwind CSS,https://github.com/mananmehta/grade-grain,,2024-01-14T10:00:31
P0007,T0011,H001,LabSim,"This addresses colleges without equipment for practical coursework, which is worse than it sounds at scale. The submission implements browser-based circuit and chemistry simulation with guided experiments. Implemented in MongoDB, PostgreSQL, Tailwind CSS, React. The dataset is small, so treat the accuracy number with suspicion.",MongoDB|PostgreSQL|Tailwind CSS|React|Express|Node.js,https://github.com/sahanajain/lab-sim,https://lab-sim-demo.vercel.app,2024-01-14T23:43:50
P0008,T0012,H001,AttendAR,"Rather than a general platform, we targeted twenty minutes of every lecture lost to a roll call directly. The architecture is face-based attendance with an explicit opt-out and on-device processing. Implemented in scikit-learn, tRPC, MongoDB. The biggest limitation is that it only handles the single-user case.",LLM Fine-tuning|tRPC|MongoDB,https://github.com/mnair/attend-ar,https://attend-ar-demo.vercel.app,2024-01-14T22:50:42
P0009,T0017,H002,TaxTrail,"Talking to the on-site mentors reframed freelancers reconstructing a year of expenses every March for us halfway through. Our design is bank statement parsing with automatic category assignment and a quarterly estimate, with a human confirmation step before anything is written. The services are written in Kafka, NumPy, FastAPI, Java Spring. It is not production-ready: the error handling is thin and we skipped auth entirely.",Kafka|NumPy|FastAPI|Java Spring|Go|gRPC,https://github.com/reyansh-bhardwaj/tax-trail,,2024-02-22T11:55:52
P0010,T0018,H002,CreditBridge,"Everyone on the team had personally hit gig workers with no formal credit history, which made scoping fast. The architecture is alternative scoring built from earnings regularity and platform ratings. Stack: TypeScript, Go, Django, Pandas. We open-sourced it during the event; it has 30 stars so far.",TypeScript|Go|Django|Pandas|Express,https://github.com/greddy/credit-bridge,https://credit-bridge-demo.vercel.app,2024-02-22T23:45:33
