interaction_id,user_id,hackathon_id,type,timestamp,text
I00001,U0001,H018,answered_question,2025-11-23T23:36:20,The writeup template is linked in the pinned message on the announcements channel.
I00002,U0001,H003,question,2024-03-27T19:15:10,Is model fine-tuning allowed or is it inference only?
I00003,U0001,,workshop_attended,2026-09-16T19:49:25,
I00004,U0001,,comment,2024-10-28T21:08:02,Coffee has run out on floor 2 for anyone planning their next hour around it.
I00005,U0001,H024,question,2026-08-21T10:01:02,Is there a template for the submission writeup anywhere?
I00006,U0001,H006,workshop_attended,2024-08-12T19:19:03,
I00007,U0001,H006,discord_message,2024-08-11T16:38:03,"last commit before freeze, do not push anything after this"
I00008,U0001,,discord_message,2025-03-13T17:18:12,"rehearsed twice, we are at 3:10 so we need to cut about twenty seconds"
I00009,U0001,,question,2025-04-21T23:26:38,Can one person be on two teams for different tracks?
I00010,U0001,H003,discord_message,2024-04-07T09:23:40,"i am taking the ingestion path, you take the UI, lets not touch the same files"
I00011,U0001,H003,profile_update,2024-04-10T13:36:27,
I00012,U0001,,question,2025-02-05T19:31:28,What happens if our deployment goes down during judging?
I00013,U0001,,comment,2024-05-12T23:03:58,"Our team is two people short, DM me if you want to join a GenAI track build."
I00014,U0001,H014,discord_message,2025-06-06T23:27:41,"demo script is in the shared doc, please read it before we rehearse"
I00015,U0001,,discord_message,2025-02-14T20:50:05,"demo script is in the shared doc, please read it before we rehearse"
I00016,U0001,H010,comment,2025-01-24T17:18:40,Finally got the deployment working. The build was failing because of a Node version mismatch.
I00017,U0001,H014,comment,2025-06-02T08:44:01,"Our demo broke live and we still placed, so do not panic if yours does."
I00018,U0001,H014,workshop_attended,2025-06-26T17:21:41,
I00019,U0001,H018,comment,2025-11-24T12:12:16,Really liked that the results were announced with the score breakdown.
I00020,U0001,H018,comment,2025-11-26T09:40:45,Really liked that the results were announced with the score breakdown.
I00021,U0001,,discord_message,2026-07-09T10:03:11,can someone take screenshots for the submission while i fix the deploy
I00022,U0001,,workshop_attended,2025-04-03T16:54:43,
I00023,U0001,,comment,2026-01-26T09:51:12,Coffee has run out on floor 2 for anyone planning their next hour around it.
I00024,U0001,,discord_message,2024-03-15T14:31:33,can someone take screenshots for the submission while i fix the deploy
I00025,U0001,H018,profile_update,2025-11-14T20:53:45,
I00026,U0001,H003,workshop_attended,2024-04-11T11:36:53,
I00027,U0002,H017,discord_message,2025-10-07T22:02:11,"last commit before freeze, do not push anything after this"
I00028,U0002,H017,question,2025-09-26T19:59:38,Is there a template for the submission writeup anywhere?
I00029,U0002,,question,2025-07-11T20:41:48,Do judges want to see the code or just the running product?
I00030,U0002,H017,comment,2025-10-10T08:00:05,Anyone else getting a 429 from the sponsor API? Third time in ten minutes.
I00031,U0003,H021,question,2026-03-30T09:00:22,What is the best way to handle auth for a demo that has to work offline?
I00032,U0003,H021,answered_question,2026-03-22T08:16:07,"Judges look at the running product first, code only if they have doubts."
I00033,U0003,,comment,2025-10-23T22:12:37,"Great talk on vector databases, the part about hybrid retrieval was the useful bit."
I00034,U0003,H021,discord_message,2026-04-04T14:29:57,"demo script is in the shared doc, please read it before we rehearse"
I00035,U0003,H021,discord_message,2026-04-17T11:10:36,"going to sleep for 90 minutes, ping me if the build breaks"
I00036,U0003,H007,comment,2024-09-14T14:18:23,"Our team is two people short, DM me if you want to join a GenAI track build."
I00037,U0003,,workshop_attended,2024-12-22T11:28:11,
I00038,U0003,H014,question,2025-06-20T15:29:13,"What counts as ""using"" the sponsor tech for the prize track?"
I00039,U0003,H007,comment,2024-09-25T23:12:04,"Our team is two people short, DM me if you want to join a GenAI track build."
I00040,U0004,H016,discord_message,2025-08-21T21:32:05,"rehearsed twice, we are at 3:10 so we need to cut about twenty seconds"
I00041,U0004,H016,question,2025-08-25T20:35:25,Is there a template for the submission writeup anywhere?
I00042,U0005,H015,discord_message,2025-07-29T10:47:08,anyone awake? stuck on a merge conflict in the schema file
I00043,U0005,,question,2026-07-28T19:11:36,Is there a template for the submission writeup anywhere?
I00044,U0005,,question,2025-01-05T17:08:53,"How long do we get for the demo, including questions?"
I00045,U0005,H010,comment,2025-01-08T17:20:40,Third hackathon here and the organisation keeps getting better.
I00046,U0005,H004,answered_question,2024-05-21T13:35:31,You get three minutes plus two for questions. They are strict about it.
I00047,U0005,H004,discord_message,2024-05-14T18:09:46,anyone awake? stuck on a merge conflict in the schema file
I00048,U0005,,question,2024-07-26T10:22:47,Can one person be on two teams for different tracks?
I00049,U0005,H004,question,2024-05-25T22:52:00,Is there a template for the submission writeup anywhere?
I00050,U0005,,workshop_attended,2025-05-02T18:04:35,
I00051,U0005,H004,workshop_attended,2024-05-17T11:40:09,
I00052,U0005,H010,discord_message,2025-01-21T10:33:48,"i am taking the ingestion path, you take the UI, lets not touch the same files"
I00053,U0006,H020,comment,2026-02-23T23:59:00,Finally got the deployment working. The build was failing because of a Node version mismatch.
I00054,U0006,,workshop_attended,2026-06-20T21:37:44,
I00055,U0006,H023,question,2026-06-28T18:14:29,Can we use a pre-existing repo as a starting point or does everything have to be written here?
I00056,U0006,,comment,2026-08-28T10:31:25,"We pivoted at 3am and it was the right call, the first idea had no demo path."
I00057,U0006,H023,answered_question,2026-07-02T09:20:17,"Free tier handles that node count fine, but create your indexes before bulk loading."
I00058,U0006,H023,answered_question,2026-07-06T11:44:20,"Yes, self-hosted counts for the prize track, it was confirmed on the Discord at 11am."
I00059,U0007,,discord_message,2024-04-20T14:54:57,"moving our table to near the power outlets, we are at 22 now"
I00060,U0007,,comment,2024-11-14T21:25:51,"Judging felt fair this time, the rubric being published in advance helped a lot."
I00061,U0007,H005,discord_message,2024-06-17T23:34:33,"demo script is in the shared doc, please read it before we rehearse"
I00062,U0007,H014,discord_message,2025-06-26T08:29:07,"pushing the fix now, pull before you touch the retrieval service"
I00063,U0007,H003,question,2024-04-10T17:11:48,Can one person be on two teams for different tracks?
I00064,U0007,H022,question,2026-05-09T22:03:25,"What counts as ""using"" the sponsor tech for the prize track?"
I00065,U0007,,question,2025-03-20T09:44:39,What is the best way to handle auth for a demo that has to work offline?
I00066,U0007,H015,comment,2025-08-03T14:35:54,"The graph database workshop was much better than I expected, worth the hour."
I00067,U0007,H003,question,2024-03-30T21:24:33,Are we expected to present on the main stage or at our table?
I00068,U0007,,comment,2025-03-05T14:22:24,"Reminder that the submission deadline is 6pm not 8pm, it changed on the Discord."
I00069,U0007,,comment,2024-10-12T21:08:04,Really liked that the results were announced with the score breakdown.
I00070,U0007,H014,question,2025-06-14T23:36:00,"Is there a rate limit on the embeddings endpoint, and if so what is it?"
I00071,U0007,H024,profile_update,2026-08-21T08:53:27,
I00072,U0007,,profile_update,2026-04-14T16:38:49,
I00073,U0007,H015,question,2025-08-02T16:31:09,Can one person be on two teams for different tracks?
I00074,U0007,H019,question,2026-01-12T16:50:27,"Is there a rate limit on the embeddings endpoint, and if so what is it?"
I00075,U0007,H015,comment,2025-07-26T12:44:52,Third hackathon here and the organisation keeps getting better.
I00076,U0007,H005,discord_message,2024-06-26T14:09:59,"we are cutting the matchmaking feature, no time"
I00077,U0007,H022,discord_message,2026-05-19T12:34:12,"rehearsed twice, we are at 3:10 so we need to cut about twenty seconds"
I00078,U0007,H024,profile_update,2026-08-01T23:29:24,
I00079,U0007,,discord_message,2025-10-17T08:39:43,"found the bug, it was a timezone thing in the date parsing"
I00080,U0007,,discord_message,2026-01-02T23:18:39,"we are cutting the matchmaking feature, no time"
I00081,U0007,H019,answered_question,2026-01-02T14:26:28,"Use a hotspot for the demo, the venue wifi drops under load every year."
I00082,U0007,H015,profile_update,2025-07-26T18:39:54,
I00083,U0007,,workshop_attended,2025-12-20T08:42:43,
I00084,U0007,H009,discord_message,2024-12-15T08:37:42,"found the bug, it was a timezone thing in the date parsing"
I00085,U0007,H022,question,2026-05-15T12:12:30,What is the best way to handle auth for a demo that has to work offline?
I00086,U0007,H019,comment,2025-12-21T19:30:32,Finally got the deployment working. The build was failing because of a Node version mismatch.
I00087,U0007,H009,discord_message,2024-12-05T08:50:41,"going to sleep for 90 minutes, ping me if the build breaks"
I00088,U0007,,answered_question,2026-07-05T13:18:07,Rate limit is 60 requests per minute per key. Batch your calls.
I00089,U0007,,workshop_attended,2024-12-29T12:27:13,
I00090,U0007,H022,comment,2026-05-18T15:15:15,Does the sponsor prize require using their hosted version or is self-hosted fine?
I00091,U0007,,comment,2026-01-26T21:41:35,Finally got the deployment working. The build was failing because of a Node version mismatch.
I00092,U0007,H009,discord_message,2024-12-07T23:29:15,"pushing the fix now, pull before you touch the retrieval service"
I00093,U0008,H011,comment,2025-02-27T18:37:48,"The graph database workshop was much better than I expected, worth the hour."
I00094,U0008,H011,question,2025-02-19T08:35:39,Is model fine-tuning allowed or is it inference only?
I00095,U0008,H014,discord_message,2025-06-16T11:56:21,"the api key rotated, new one is in the env file on the shared drive"
I00096,U0008,H014,comment,2025-06-03T20:58:33,"Our team is two people short, DM me if you want to join a GenAI track build."
I00097,U0008,,question,2025-04-28T12:53:58,Is model fine-tuning allowed or is it inference only?
I00098,U0008,H011,discord_message,2025-02-20T23:02:27,can someone take screenshots for the submission while i fix the deploy
I00099,U0008,H007,discord_message,2024-09-11T09:34:24,"moving our table to near the power outlets, we are at 22 now"
I00100,U0008,H007,discord_message,2024-09-22T22:34:47,anyone awake? stuck on a merge conflict in the schema file
I00101,U0008,H007,discord_message,2024-09-05T14:39:43,"last commit before freeze, do not push anything after this"
I00102,U0008,H011,discord_message,2025-02-08T11:11:44,"i am taking the ingestion path, you take the UI, lets not touch the same files"
I00103,U0008,H014,answered_question,2025-06-18T10:26:39,The writeup template is linked in the pinned message on the announcements channel.
I00104,U0008,,answered_question,2025-06-11T14:24:15,Pre-existing repos are allowed if you declare them and the new work is clearly separable.
I00105,U0008,H014,comment,2025-06-25T15:38:47,Anyone else getting a 429 from the sponsor API? Third time in ten minutes.
I00106,U0008,,answered_question,2025-02-06T19:57:35,"Use a hotspot for the demo, the venue wifi drops under load every year."
I00107,U0009,H022,answered_question,2026-05-25T11:02:35,"Judges look at the running product first, code only if they have doubts."
I00108,U0009,H022,workshop_attended,2026-05-25T12:27:50,
I00109,U0009,H022,answered_question,2026-05-30T15:24:20,The writeup template is linked in the pinned message on the announcements channel.
I00110,U0009,H018,answered_question,2025-11-15T08:13:14,"Yes, self-hosted counts for the prize track, it was confirmed on the Discord at 11am."
I00111,U0009,H024,workshop_attended,2026-07-30T20:08:40,
I00112,U0009,H022,discord_message,2026-05-26T09:50:42,"rehearsed twice, we are at 3:10 so we need to cut about twenty seconds"
I00113,U0009,H022,comment,2026-05-27T22:18:01,Third hackathon here and the organisation keeps getting better.
I00114,U0009,H022,question,2026-05-10T08:48:33,Is the dataset they provided allowed to be augmented with external data?
I00115,U0009,H018,discord_message,2025-11-22T22:25:19,"going to sleep for 90 minutes, ping me if the build breaks"
I00116,U0009,H020,discord_message,2026-02-16T23:27:21,"rehearsed twice, we are at 3:10 so we need to cut about twenty seconds"
I00117,U0009,H018,comment,2025-12-02T20:48:08,Does the sponsor prize require using their hosted version or is self-hosted fine?
I00118,U0009,H018,discord_message,2025-11-15T13:15:46,anyone awake? stuck on a merge conflict in the schema file
I00119,U0009,H024,comment,2026-08-11T18:36:14,Finally got the deployment working. The build was failing because of a Node version mismatch.
I00120,U0009,H020,comment,2026-02-08T20:30:00,"The graph database workshop was much better than I expected, worth the hour."
I00121,U0009,H020,comment,2026-02-08T13:01:00,"The graph database workshop was much better than I expected, worth the hour."
I00122,U0009,H020,workshop_attended,2026-02-27T17:45:39,
I00123,U0009,H018,question,2025-11-21T08:48:11,Can one person be on two teams for different tracks?
I00124,U0009,,discord_message,2026-06-06T12:29:34,"we are cutting the matchmaking feature, no time"
I00125,U0010,H001,question,2024-01-23T17:31:37,"Is there a rate limit on the embeddings endpoint, and if so what is it?"
I00126,U0010,,comment,2026-04-09T16:02:49,"The graph database workshop was much better than I expected, worth the hour."
